timestamp,paid_rate,total_transaction
2023-01-09 15:00:00,80.7,884
2023-01-09 16:00:00,81.4,834
2023-01-09 17:00:00,83.9,793
2023-01-09 18:00:00,80.6,907
2023-01-09 19:00:00,80.3,885
2023-01-09 20:00:00,80.0,896
2023-01-09 21:00:00,79.8,996
2023-01-09 22:00:00,82.4,825
2023-01-09 23:00:00,78.7,520
2023-01-10 00:00:00,73.3,273
2023-01-10 01:00:00,76.54831806901392,706
2023-01-10 02:00:00,76.5871389801931,824
2023-01-10 03:00:00,79.08786523463719,427
2023-01-10 04:00:00,77.2930201569232,485
2023-01-10 05:00:00,76.31161571247688,676
2023-01-10 06:00:00,78.06077592868529,222
2023-01-10 07:00:00,75.81551175122839,253
2023-01-10 08:00:00,76.3,295
2023-01-10 09:00:00,82.8,576
2023-01-10 10:00:00,82.3,971
2023-01-10 11:00:00,80.4,940
2023-01-10 12:00:00,82.0,850
2023-01-10 13:00:00,79.6,798
2023-01-10 14:00:00,83.0,787
2023-01-10 15:00:00,79.5,816
2023-01-10 16:00:00,77.5,827
2023-01-10 17:00:00,81.6,957
2023-01-10 18:00:00,79.5,909
2023-01-10 19:00:00,79.2,908
2023-01-10 20:00:00,80.1,797
2023-01-10 21:00:00,77.9,915
2023-01-10 22:00:00,80.0,739
2023-01-10 23:00:00,75.2,585
2023-01-11 00:00:00,71.7,346
2023-01-11 01:00:00,70.5,190
2023-01-11 02:00:00,75.9387117551657,423
2023-01-11 03:00:00,78.64097229753736,509
2023-01-11 04:00:00,75.64704350254046,303
2023-01-11 05:00:00,76.37985058458034,389
2023-01-11 06:00:00,73.07850612781824,712
2023-01-11 07:00:00,74.6819860518332,406
2023-01-11 08:00:00,77.5,320
2023-01-11 09:00:00,79.3,547
2023-01-11 10:00:00,84.7,1167
2023-01-11 11:00:00,80.1,962
2023-01-11 12:00:00,79.3,858
2023-01-11 13:00:00,80.6,970
2023-01-11 14:00:00,81.3,1259
2023-01-11 15:00:00,78.2,952
2023-01-11 16:00:00,79.0,906
2023-01-11 17:00:00,79.2,902
2023-01-11 18:00:00,79.2,888
2023-01-11 19:00:00,80.6,778
2023-01-11 20:00:00,81.7,750
2023-01-11 21:00:00,77.8,887
2023-01-11 22:00:00,81.7,739
2023-01-11 23:00:00,74.1,555
2023-01-12 00:00:00,75.9,294
2023-01-12 01:00:00,78.87404059385395,779
2023-01-12 02:00:00,74.68019828921854,491
2023-01-12 03:00:00,78.69528489698706,295
2023-01-12 04:00:00,75.5104457167081,263
2023-01-12 05:00:00,76.00190631088664,316
2023-01-12 06:00:00,77.34350627673267,580
2023-01-12 07:00:00,79.67246426144932,262
2023-01-12 08:00:00,80.0,315
2023-01-12 09:00:00,81.7,567
2023-01-12 10:00:00,81.8,1168
2023-01-12 11:00:00,81.0,1264
2023-01-12 12:00:00,78.3,1087
2023-01-12 13:00:00,79.3,1056
2023-01-12 14:00:00,81.7,1275
2023-01-12 15:00:00,80.5,1247
2023-01-12 16:00:00,79.1,1009
2023-01-12 17:00:00,80.0,1002
2023-01-12 18:00:00,81.2,966
2023-01-12 19:00:00,82.8,935
2023-01-12 20:00:00,78.7,925
2023-01-12 21:00:00,80.3,1003
2023-01-12 22:00:00,81.8,749
2023-01-12 23:00:00,79.7,523
2023-01-13 00:00:00,73.8,301
2023-01-13 01:00:00,76.00374597910601,474
2023-01-13 02:00:00,76.50658782093633,689
2023-01-13 03:00:00,77.28493621502437,333
2023-01-13 04:00:00,76.1645385828738,473
2023-01-13 05:00:00,77.90040271597061,663
2023-01-13 06:00:00,77.12624459201606,805
2023-01-13 07:00:00,75.24230230953991,452
2023-01-13 08:00:00,82.6,357
2023-01-13 09:00:00,79.2,644
2023-01-13 10:00:00,81.2,970
2023-01-13 11:00:00,82.1,1017
2023-01-13 12:00:00,79.5,960
2023-01-13 13:00:00,80.9,841
2023-01-13 14:00:00,80.4,938
2023-01-13 15:00:00,80.9,906
2023-01-13 16:00:00,80.7,905
2023-01-13 17:00:00,76.0,1037
2023-01-13 18:00:00,78.0,1043
2023-01-13 19:00:00,80.7,905
2023-01-13 20:00:00,78.1,880
2023-01-13 21:00:00,83.0,746
2023-01-13 22:00:00,78.2,643
2023-01-13 23:00:00,75.9,543
2023-01-14 00:00:00,76.5,392
2023-01-14 01:00:00,80.8,177
2023-01-14 02:00:00,77.76440198248054,466
2023-01-14 03:00:00,78.88965410474039,558
2023-01-14 04:00:00,77.16533924706016,187
2023-01-14 05:00:00,77.3315024775882,597
2023-01-14 06:00:00,78.3318521104821,756
2023-01-14 07:00:00,75.69348322106688,662
2023-01-14 08:00:00,79.8,336
2023-01-14 09:00:00,79.4,627
2023-01-14 10:00:00,81.4,1008
2023-01-14 11:00:00,81.6,1175
2023-01-14 12:00:00,84.0,1199
2023-01-14 13:00:00,79.4,1190
2023-01-14 14:00:00,80.9,1244
2023-01-14 15:00:00,78.9,1240
2023-01-14 16:00:00,79.9,993
2023-01-14 17:00:00,81.6,898
2023-01-14 18:00:00,85.5,864
2023-01-14 19:00:00,79.3,757
2023-01-14 20:00:00,79.5,702
2023-01-14 21:00:00,78.2,623
2023-01-14 22:00:00,76.4,543
2023-01-14 23:00:00,75.1,450
2023-01-15 00:00:00,80.7,331
2023-01-15 01:00:00,77.1,201
2023-01-15 02:00:00,76.42607235716801,1063
2023-01-15 03:00:00,75.19982148441348,514
2023-01-15 04:00:00,77.9103482050559,478
2023-01-15 05:00:00,76.55251420068063,646
2023-01-15 06:00:00,76.62031628634543,547
2023-01-15 07:00:00,75.29472171229831,606
2023-01-15 08:00:00,77.6,205
2023-01-15 09:00:00,83.5,474
2023-01-15 10:00:00,79.9,832
2023-01-15 11:00:00,86.1,990
2023-01-15 12:00:00,83.1,925
2023-01-15 13:00:00,80.8,890
2023-01-15 14:00:00,80.3,932
2023-01-15 15:00:00,82.6,866
2023-01-15 16:00:00,81.2,788
2023-01-15 17:00:00,82.2,827
2023-01-15 18:00:00,78.9,899
2023-01-15 19:00:00,80.1,881
2023-01-15 20:00:00,79.8,728
2023-01-15 21:00:00,77.9,841
2023-01-15 22:00:00,79.7,637
2023-01-15 23:00:00,79.7,408
2023-01-16 00:00:00,75.2,222
2023-01-16 01:00:00,76.80412344085579,798
2023-01-16 02:00:00,77.42730204823836,195
2023-01-16 03:00:00,77.64842238100665,556
2023-01-16 04:00:00,78.42438845355458,335
2023-01-16 05:00:00,75.28908069151413,847
2023-01-16 06:00:00,76.1968782540107,564
2023-01-16 07:00:00,76.88053368313172,714
2023-01-16 08:00:00,75.3,223
2023-01-16 09:00:00,80.3,493
2023-01-16 10:00:00,82.2,1967
2023-01-16 11:00:00,81.2,1795
2023-01-16 12:00:00,83.9,1301
2023-01-16 13:00:00,79.2,1171
2023-01-16 14:00:00,81.6,1068
2023-01-16 15:00:00,80.0,1165
2023-01-16 16:00:00,78.2,1011
2023-01-16 17:00:00,81.0,1015
2023-01-16 18:00:00,79.7,980
2023-01-16 19:00:00,81.1,950
2023-01-16 20:00:00,80.7,973
2023-01-16 21:00:00,82.9,1097
2023-01-16 22:00:00,76.5,892
2023-01-16 23:00:00,79.6,599
2023-01-17 00:00:00,76.6,269
2023-01-17 01:00:00,76.3226280699825,453
2023-01-17 02:00:00,76.035620072656,849
2023-01-17 03:00:00,75.37488801083039,826
2023-01-17 04:00:00,78.13342227097692,772
2023-01-17 05:00:00,78.08559915992443,530
2023-01-17 06:00:00,75.31646046858523,557
2023-01-17 07:00:00,78.9366270677264,645
2023-01-17 08:00:00,78.8,264
2023-01-17 09:00:00,65.1,667
2023-01-17 10:00:00,46.0,1842
2023-01-17 11:00:00,80.4,1095
2023-01-17 12:00:00,81.5,1008
2023-01-17 13:00:00,84.5,1458
2023-01-17 14:00:00,80.1,1553
2023-01-17 15:00:00,81.9,1409
2023-01-17 16:00:00,81.9,1411
2023-01-17 17:00:00,80.9,1322
2023-01-17 18:00:00,79.5,1168
2023-01-17 19:00:00,79.3,1007
2023-01-17 20:00:00,81.6,1005
2023-01-17 21:00:00,82.7,1012
2023-01-17 22:00:00,82.5,859
2023-01-17 23:00:00,77.4,540
2023-01-18 00:00:00,73.6,288
2023-01-18 01:00:00,84.3,236
2023-01-18 02:00:00,77.4624519876699,478
2023-01-18 03:00:00,77.08004924575314,496
2023-01-18 04:00:00,77.43413999776442,565
2023-01-18 05:00:00,78.5186090608235,766
2023-01-18 06:00:00,78.03435482319323,563
2023-01-18 07:00:00,76.12637712679118,836
2023-01-18 08:00:00,80.3,279
2023-01-18 09:00:00,81.0,590
2023-01-18 10:00:00,82.4,2028
2023-01-18 11:00:00,80.1,2115
2023-01-18 12:00:00,79.7,1568
2023-01-18 13:00:00,80.0,1188
2023-01-18 14:00:00,77.6,1241
2023-01-18 15:00:00,78.3,1098
2023-01-18 16:00:00,80.7,1209
2023-01-18 17:00:00,77.6,1039
2023-01-18 18:00:00,77.3,968
2023-01-18 19:00:00,78.8,1017
2023-01-18 20:00:00,80.9,904
2023-01-18 21:00:00,80.6,988
2023-01-18 22:00:00,79.5,829
2023-01-18 23:00:00,78.3,507
2023-01-19 00:00:00,75.1,237
2023-01-19 01:00:00,78.01842270852451,468
2023-01-19 02:00:00,77.58583765224586,465
2023-01-19 03:00:00,76.04594611546975,708
2023-01-19 04:00:00,76.44623039722325,575
2023-01-19 05:00:00,75.63896096779676,290
2023-01-19 06:00:00,74.98713319712421,850
2023-01-19 07:00:00,78.46065232926428,142
2023-01-19 08:00:00,81.8,247
2023-01-19 09:00:00,80.1,513
2023-01-19 10:00:00,82.8,1958
2023-01-19 11:00:00,81.1,1278
2023-01-19 12:00:00,81.9,1520
2023-01-19 13:00:00,84.3,841
2023-01-19 14:00:00,80.3,894
2023-01-19 15:00:00,80.2,1021
2023-01-19 16:00:00,75.1,890
2023-01-19 17:00:00,77.1,883
2023-01-19 18:00:00,77.9,843
2023-01-19 19:00:00,79.7,770
2023-01-19 20:00:00,78.7,807
2023-01-19 21:00:00,81.7,780
2023-01-19 22:00:00,78.9,655
2023-01-19 23:00:00,73.9,494
2023-01-20 00:00:00,73.7,293
2023-01-20 01:00:00,77.0,161
2023-01-20 02:00:00,78.94910066083855,648
2023-01-20 03:00:00,77.13090960498688,960
2023-01-20 04:00:00,78.77520911769136,683
2023-01-20 05:00:00,77.92050644572332,384
2023-01-20 06:00:00,78.91375681850788,534
2023-01-20 07:00:00,77.49629187212008,650
2023-01-20 08:00:00,72.3,347
2023-01-20 09:00:00,78.1,626
2023-01-20 10:00:00,81.2,1390
2023-01-20 11:00:00,78.6,1002
2023-01-20 12:00:00,79.2,912
2023-01-20 13:00:00,79.1,1019
2023-01-20 14:00:00,80.3,1108
2023-01-20 15:00:00,81.7,1308
2023-01-20 16:00:00,81.0,1020
2023-01-20 17:00:00,82.4,960
2023-01-20 18:00:00,81.3,891
2023-01-20 19:00:00,79.4,925
2023-01-20 20:00:00,79.8,832
2023-01-20 21:00:00,79.6,741
2023-01-20 22:00:00,78.4,680
2023-01-20 23:00:00,79.6,538
2023-01-21 00:00:00,80.1,351
2023-01-21 01:00:00,78.9,223
2023-01-21 02:00:00,78.5893899148535,793
2023-01-21 03:00:00,76.87602726029023,284
2023-01-21 04:00:00,76.85810921905889,535
2023-01-21 05:00:00,77.7711246832612,611
2023-01-21 06:00:00,80.83817430032705,502
2023-01-21 07:00:00,73.54271785888562,879
2023-01-21 08:00:00,78.5,274
2023-01-21 09:00:00,80.6,649
2023-01-21 10:00:00,79.2,1069
2023-01-21 11:00:00,80.2,1235
2023-01-21 12:00:00,80.0,1180
2023-01-21 13:00:00,79.5,1056
2023-01-21 14:00:00,79.5,1115
2023-01-21 15:00:00,81.0,956
2023-01-21 16:00:00,80.0,867
2023-01-21 17:00:00,79.1,752
2023-01-21 18:00:00,84.3,743
2023-01-21 19:00:00,80.8,739
2023-01-21 20:00:00,80.6,630
2023-01-21 21:00:00,72.4,586
2023-01-21 22:00:00,76.5,463
2023-01-21 23:00:00,73.3,442
2023-01-22 00:00:00,75.3,255
2023-01-22 01:00:00,71.9,160
2023-01-22 02:00:00,76.77315837783432,455
2023-01-22 03:00:00,76.13599881700539,606
2023-01-22 04:00:00,76.82288445983176,508
2023-01-22 05:00:00,78.2636454044078,674
2023-01-22 06:00:00,75.82263708447134,725
2023-01-22 07:00:00,76.00161234694201,461
2023-01-22 08:00:00,77.9,190
2023-01-22 09:00:00,81.0,522
2023-01-22 10:00:00,80.5,765
2023-01-22 11:00:00,81.3,915
2023-01-22 12:00:00,81.4,839
2023-01-22 13:00:00,79.3,816
2023-01-22 14:00:00,78.7,907
2023-01-22 15:00:00,79.2,852
2023-01-22 16:00:00,76.9,741
2023-01-22 17:00:00,79.7,795
2023-01-22 18:00:00,78.5,828
2023-01-22 19:00:00,78.7,875
2023-01-22 20:00:00,78.3,784
2023-01-22 21:00:00,80.9,706
2023-01-22 22:00:00,81.8,561
2023-01-22 23:00:00,74.6,418
2023-01-23 00:00:00,72.7,209
2023-01-23 01:00:00,77.4571754701847,575
2023-01-23 02:00:00,77.21018758540973,806
2023-01-23 03:00:00,80.21407157654625,764
2023-01-23 04:00:00,81.20196622663958,874
2023-01-23 05:00:00,76.87306106565764,368
2023-01-23 06:00:00,76.18450226006073,640
2023-01-23 07:00:00,75.45728910724489,698
2023-01-23 08:00:00,75.3,219
2023-01-23 09:00:00,83.1,426
2023-01-23 10:00:00,81.6,744
2023-01-23 11:00:00,81.9,1555
2023-01-23 12:00:00,77.8,978
2023-01-23 13:00:00,80.6,1093
2023-01-23 14:00:00,80.9,1361
2023-01-23 15:00:00,76.5,1171
2023-01-23 16:00:00,81.7,925
2023-01-23 17:00:00,78.6,870
2023-01-23 18:00:00,80.4,919
2023-01-23 19:00:00,79.8,880
2023-01-23 20:00:00,81.4,833
2023-01-23 21:00:00,77.9,976
2023-01-23 22:00:00,80.6,749
2023-01-23 23:00:00,79.3,464
2023-01-24 00:00:00,71.7,240
2023-01-24 01:00:00,76.59200241810997,447
2023-01-24 02:00:00,77.94463429320186,757
2023-01-24 03:00:00,74.81236034706399,577
2023-01-24 04:00:00,73.68330772167704,480
2023-01-24 05:00:00,74.85864928934805,376
2023-01-24 06:00:00,76.6217726934834,78
2023-01-24 07:00:00,76.00144692699578,639
